split,rule,level_name,target_mult,stop_mult,n,hit,stop,timeout,expectancy_atr
oos,S3,val,0.75,1.0,23,0.5652173913043478,0.43478260869565216,0.0,-0.010869565217391304
oos,S4,poc,0.75,1.0,30,0.36666666666666664,0.6333333333333333,0.0,-0.35833333333333334
oos,S4,prior_close,0.75,1.0,31,0.4838709677419355,0.5161290322580645,0.0,-0.1532258064516129
oos,S4,prior_high,0.75,1.0,22,0.45454545454545453,0.5454545454545454,0.0,-0.20454545454545456
oos,S4,prior_low,0.75,1.0,33,0.5454545454545454,0.45454545454545453,0.0,-0.045454545454545456
oos,S4,vah,0.75,1.0,18,0.3888888888888889,0.6111111111111112,0.0,-0.3194444444444444
oos,S4,val,0.75,1.0,29,0.6551724137931034,0.3448275862068966,0.0,0.14655172413793102
oos,S1,poc,0.75,1.5,4,0.5,0.5,0.0,-0.375
oos,S1,prior_close,0.75,1.5,6,0.8333333333333334,0.16666666666666666,0.0,0.375
oos,S1,prior_high,0.75,1.5,6,0.5,0.5,0.0,-0.375
oos,S1,prior_low,0.75,1.5,6,0.6666666666666666,0.3333333333333333,0.0,0.0
oos,S1,vah,0.75,1.5,2,0.5,0.5,0.0,-0.375
oos,S1,val,0.75,1.5,5,0.2,0.8,0.0,-1.05
oos,S2,poc,0.75,1.5,7,0.5714285714285714,0.42857142857142855,0.0,-0.21428571428571427
oos,S2,prior_close,0.75,1.5,11,0.8181818181818182,0.18181818181818182,0.0,0.3409090909090909
oos,S2,prior_high,0.75,1.5,9,0.5555555555555556,0.4444444444444444,0.0,-0.25
oos,S2,prior_low,0.75,1.5,5,0.6,0.4,0.0,-0.15
oos,S2,vah,0.75,1.5,4,0.75,0.25,0.0,0.1875
oos,S2,val,0.75,1.5,4,0.5,0.5,0.0,-0.375
oos,S3,poc,0.75,1.5,23,0.8260869565217391,0.17391304347826086,0.0,0.358695652173913
oos,S3,prior_close,0.75,1.5,32,0.5625,0.4375,0.0,-0.234375
oos,S3,prior_high,0.75,1.5,26,0.6923076923076923,0.3076923076923077,0.0,0.057692307692307696
oos,S3,prior_low,0.75,1.5,25,0.6,0.4,0.0,-0.15
oos,S3,vah,0.75,1.5,20,0.65,0.35,0.0,-0.0375
oos,S3,val,0.75,1.5,23,0.7391304347826086,0.2608695652173913,0.0,0.16304347826086957
oos,S4,poc,0.75,1.5,30,0.4666666666666667,0.5333333333333333,0.0,-0.45
oos,S4,prior_close,0.75,1.5,31,0.4838709677419355,0.5161290322580645,0.0,-0.4112903225806452
oos,S4,prior_high,0.75,1.5,22,0.5909090909090909,0.4090909090909091,0.0,-0.17045454545454544
oos,S4,prior_low,0.75,1.5,33,0.6666666666666666,0.3333333333333333,0.0,0.0
oos,S4,vah,0.75,1.5,18,0.6111111111111112,0.3888888888888889,0.0,-0.125
oos,S4,val,0.75,1.5,29,0.6551724137931034,0.3448275862068966,0.0,-0.02586206896551724
oos,S1,poc,1.0,0.5,4,0.25,0.75,0.0,-0.125
oos,S1,prior_close,1.0,0.5,6,0.5,0.5,0.0,0.25
oos,S1,prior_high,1.0,0.5,6,0.3333333333333333,0.6666666666666666,0.0,0.0
oos,S1,prior_low,1.0,0.5,6,0.3333333333333333,0.6666666666666666,0.0,0.0
oos,S1,vah,1.0,0.5,2,0.5,0.5,0.0,0.25
oos,S1,val,1.0,0.5,5,0.0,1.0,0.0,-0.5
oos,S2,poc,1.0,0.5,7,0.5714285714285714,0.42857142857142855,0.0,0.35714285714285715
oos,S2,prior_close,1.0,0.5,11,0.6363636363636364,0.36363636363636365,0.0,0.45454545454545453
oos,S2,prior_high,1.0,0.5,9,0.4444444444444444,0.5555555555555556,0.0,0.16666666666666666
