minute,mean_vol,median_vol,mean_bp,mean_delta,n,time
880,135441.84930724415,100801.0,0.5201220870027695,7847.815167460425,811,14:40
881,132241.76628400985,95576.0,0.5144719514579829,3833.324375411749,811,14:41
882,132847.29136495068,98723.0,0.472295574422136,-3037.365913319863,811,14:42
883,129020.88379946239,93465.0,0.5231202289909918,8835.679825233885,811,14:43
884,113746.43659609494,86802.0,0.522578427641204,8132.642897982379,811,14:44
885,129694.74357381997,100510.0,0.505180374439101,-1478.1442501369138,811,14:45
886,123377.10580287546,90595.0,0.5169562301879914,6515.024023715577,811,14:46
887,122096.16695338963,88325.0,0.4959608303265419,-2090.568978634579,811,14:47
888,119906.92439077928,89859.0,0.5214241567299432,7137.771134700616,811,14:48
889,115817.21771111344,89706.0,0.4908415204881987,-2805.928796920282,811,14:49
890,130888.45583605673,99055.0,0.5053029474295383,-1083.801628824527,811,14:50
891,123529.41468650801,92536.0,0.5266557328142567,4644.185165781447,811,14:51
892,127961.44589310975,94259.0,0.48761080182558214,-3924.6930811130283,811,14:52
893,121720.85315176942,93469.0,0.5134263917944676,-1779.415738991782,811,14:53
894,116868.1054617275,86534.80227,0.5153669528698391,3488.2144532414704,811,14:54
895,145913.7382976042,111132.0,0.5371498364478897,7453.8152512007255,811,14:55
896,130398.71748793342,99245.0,0.511979294541007,2986.248861165403,811,14:56
897,128883.73750683106,91846.0,0.5148016682996919,6507.574098118883,811,14:57
898,129810.6953127608,94161.0,0.5124865800926071,3907.015101367759,811,14:58
899,123185.66332521208,90801.0,0.504087142370119,-2946.7641946365875,811,14:59
900,170466.92824409617,126806.0,0.5116857613330303,9380.744899482817,811,15:00
901,150491.57327777683,111395.0,0.5226850917406984,161.93388720937165,811,15:01
902,149831.90364322937,113273.0,0.500662290321146,-5181.765697654507,811,15:02
903,135556.77636497782,102492.0,0.5020145213495081,3021.073187099426,811,15:03
904,140957.6878162232,101258.0,0.49215696029629385,-781.3216246047102,811,15:04
905,147158.2830279026,109753.0,0.506762988155988,-2232.0454813687516,811,15:05
906,144609.74122021455,107346.0,0.49509450189829673,-6678.369164792173,811,15:06
907,139193.29768788285,103097.0,0.512922612475888,4092.821409986958,811,15:07
908,156505.31456073612,116713.570634,0.5357137786411,9783.672255148867,811,15:08
909,132871.1045207534,98176.0,0.5105810707699475,1342.7570326242023,811,15:09
910,158926.89451545622,121723.0,0.5213822959205836,1093.1287735011667,811,15:10
911,154964.389057582,118836.0,0.48659192643273697,-4909.279159833212,811,15:11
